Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.043387,8.447,8.447,0.022,16.008,16.008
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.054703,11.316,8.445,0.016,13.137,13.137
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.061739,7.036,8.504,0.016,14.606,14.606
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.068832,7.093,8.474,0.024,15.986,15.986
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.077363,8.532,8.790,0.038,16.245,16.245
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.090584,13.220,8.458,0.016,11.482,11.482
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.096953,6.369,8.485,0.016,13.598,13.598
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.103293,6.341,8.469,0.014,15.726,15.726
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.111744,8.450,8.479,0.017,15.755,15.755
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.124078,12.334,8.407,0.017,11.828,11.828
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.131297,7.219,8.414,0.018,13.023,13.023
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.138541,7.244,8.429,0.020,14.208,14.208
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.146042,7.501,8.499,0.016,15.207,15.207
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.157769,11.727,8.395,0.018,11.874,11.874
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.164122,6.353,8.443,0.017,13.965,13.965
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.170651,6.529,8.373,0.015,15.808,15.808
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.178997,8.346,8.747,0.013,16.210,16.210
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.190579,11.581,8.405,0.017,13.033,13.033
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.196668,6.089,8.381,0.016,15.325,15.325
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.204492,7.824,8.360,0.018,15.861,15.861
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.212856,8.364,8.383,0.015,15.880,15.880
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.224568,11.713,8.430,0.017,12.598,12.598
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.231047,6.479,8.409,0.024,14.528,14.528
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.238158,7.111,8.434,0.046,15.852,15.852
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.246487,8.329,8.455,0.013,15.978,15.978
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.259356,12.869,8.439,0.016,11.548,11.548
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.265831,6.475,8.534,0.024,13.607,13.607
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.272667,6.836,8.798,0.031,15.569,15.569
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.280586,7.919,8.503,0.026,16.153,16.153
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.292206,11.619,8.501,0.016,13.035,13.035
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.298706,6.501,8.524,0.024,15.058,15.058
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.306241,7.535,8.439,0.014,15.962,15.962
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.314659,8.418,8.495,0.014,16.040,16.040
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.326045,11.386,8.494,0.017,13.148,13.148
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.332335,6.289,8.519,0.016,15.377,15.377
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.340148,7.813,8.497,0.025,16.061,16.061
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.348753,8.605,8.436,0.023,15.892,15.892
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.360462,11.709,8.590,0.017,12.773,12.773
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.366765,6.302,8.479,0.025,14.949,14.949
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.374240,7.475,8.863,0.014,16.338,16.338
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.382884,8.644,8.488,0.013,16.182,16.182
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.394673,11.790,8.505,0.018,12.897,12.897
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.401058,6.385,8.450,0.016,14.963,14.963
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.408615,7.557,8.471,0.015,15.877,15.877
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.416996,8.381,8.420,0.014,15.916,15.916
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.429799,12.803,8.400,0.018,11.513,11.513
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.435978,6.180,8.456,0.025,13.790,13.790
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.442580,6.602,8.477,0.015,15.665,15.665
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.450772,8.192,8.489,0.014,15.962,15.962
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.464351,13.579,8.379,0.016,10.762,10.762
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.471171,6.820,8.403,0.017,12.345,12.345
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.478022,6.851,8.725,0.016,14.219,14.219
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.494027,16.005,10.280,0.015,8.493,8.493
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.500466,6.439,8.637,0.015,10.691,10.691
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.506739,6.273,8.661,0.018,13.079,13.079
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.513110,6.371,8.734,0.024,15.443,15.443
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.524889,11.779,8.700,0.018,12.363,12.363
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.532693,7.803,8.790,0.017,13.350,13.350
dota2.exe,7124,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,24.539190,6.498,8.697,0.016,15.549,15.549
