Frame, Time (ms)
  881,  8763.431
  882,  8768.185
  883,  8777.584
  884,  8785.548
  885,  8801.398
  886,  8806.819
  887,  8815.353
  888,  8831.937
  889,  8837.507
  890,  8846.554
  891,  8863.484
  892,  8869.020
  893,  8878.020
  894,  8886.109
  895,  8901.844
  896,  8907.227
  897,  8915.970
  898,  8933.524
  899,  8938.808
  900,  8947.894
  901,  8967.010
  902,  8971.145
  903,  8980.079
  904,  8996.567
  905,  9002.036
  906,  9011.446
  907,  9019.345
  908,  9035.543
  909,  9040.757
  910,  9049.332
  911,  9065.660
  912,  9070.563
  913,  9079.711
  914,  9096.270
  915,  9101.294
  916,  9110.935
  917,  9119.171
  918,  9134.929
  919,  9140.215
  920,  9149.886
  921,  9167.924
  922,  9173.050
  923,  9182.795
  924,  9197.039
  925,  9202.349
  926,  9211.333
  927,  9220.394
  928,  9236.791
  929,  9242.115
  930,  9251.921
  931,  9266.510
  932,  9272.062
  933,  9280.701
  934,  9296.584
  935,  9301.560
  936,  9310.382
  937,  9319.585
  938,  9336.078
  939,  9341.533
  940,  9350.316
  941,  9367.324
  942,  9372.262
  943,  9381.076
  944,  9399.156
  945,  9404.853
  946,  9413.415
  947,  9428.945
  948,  9434.606
  949,  9444.292
  950,  9452.457
  951,  9469.487
  952,  9474.705
  953,  9483.781
  954,  9501.707
  955,  9505.590
  956,  9514.465
  957,  9532.333
  958,  9537.641
  959,  9546.892
  960,  9564.556
  961,  9568.769
  962,  9578.042
  963,  9586.061
  964,  9602.149
  965,  9607.852
  966,  9616.331
  967,  9631.863
  968,  9637.349
  969,  9646.688
  970,  9662.087
  971,  9667.604
  972,  9676.737
  973,  9685.050
  974,  9699.731
  975,  9705.166
  976,  9714.330
  977,  9730.964
  978,  9736.104
  979,  9745.206
  980,  9763.384
  981,  9771.125
  982,  9779.833
  983,  9786.364
  984,  9802.403
  985,  9808.041
  986,  9817.325
  987,  9832.320
  988,  9837.585
  989,  9846.684
  990,  9861.604
  991,  9866.763
  992,  9876.321
  993,  9884.869
  994,  9900.527
  995,  9904.900
  996,  9913.955
  997,  9928.588
  998,  9933.756
  999,  9942.248
 1000,  9950.758
 1001,  9967.062
 1002,  9972.037
 1003,  9981.634
 1004,  9996.312
 1005, 10001.545
 1006, 10010.230
 1007, 10018.837
 1008, 10036.024
 1009, 10041.660
 1010, 10050.021
 1011, 10066.406
 1012, 10071.648
 1013, 10080.423
 1014, 10097.105
 1015, 10102.366
 1016, 10112.036
 1017, 10120.596
 1018, 10134.680
 1019, 10139.735
 1020, 10148.498
 1021, 10166.113
 1022, 10170.194
 1023, 10179.627
 1024, 10195.464
 1025, 10200.562
 1026, 10209.251
 1027, 10217.957
 1028, 10232.559
 1029, 10237.845
 1030, 10246.716
 1031, 10262.813
 1032, 10268.180
 1033, 10277.145
 1034, 10285.550
 1035, 10300.222
 1036, 10305.480
 1037, 10314.342
 1038, 10331.584
 1039, 10337.168
 1040, 10345.877
 1041, 10361.423
 1042, 10366.542
 1043, 10376.782
 1044, 10383.133
 1045, 10400.035
 1046, 10405.172
 1047, 10414.013
 1048, 10429.480
 1049, 10435.088
 1050, 10443.800
 1051, 10452.604
 1052, 10467.377
 1053, 10472.666
 1054, 10481.386
 1055, 10500.503
 1056, 10503.887
 1057, 10512.683
 1058, 10529.247
 1059, 10534.272
 1060, 10542.724
 1061, 10551.676
 1062, 10569.803
 1063, 10574.744
 1064, 10585.413
 1065, 10600.722
 1066, 10606.006
 1067, 10614.726
 1068, 10629.699
 1069, 10635.151
 1070, 10644.578
 1071, 10652.408
 1072, 10667.314
 1073, 10672.873
 1074, 10682.051
 1075, 10696.889
 1076, 10701.674
 1077, 10710.882
 1078, 10719.103
 1079, 10734.308
 1080, 10739.913
 1081, 10749.116
 1082, 10766.335
 1083, 10770.497
 1084, 10780.659
 1085, 10787.555
 1086, 10803.315
 1087, 10809.241
 1088, 10818.232
 1089, 10832.526
 1090, 10837.956
 1091, 10847.664
 1092, 10862.548
 1093, 10868.249
 1094, 10877.335
 1095, 10885.534
 1096, 10899.716
 1097, 10905.171
 1098, 10913.634
 1099, 10929.433
 1100, 10934.915
 1101, 10943.933
 1102, 10952.240
 1103, 10967.008
 1104, 10972.657
 1105, 10981.705
 1106, 10999.316
 1107, 11004.283
 1108, 11012.289
 1109, 11027.434
 1110, 11033.154
 1111, 11042.143
 1112, 11050.655
 1113, 11065.094
 1114, 11070.219
 1115, 11079.250
 1116, 11094.065
 1117, 11099.645
 1118, 11108.920
 1119, 11116.694
 1120, 11132.810
 1121, 11138.201
 1122, 11147.646
 1123, 11162.751
 1124, 11168.244
 1125, 11177.725
 1126, 11185.500
 1127, 11200.945
 1128, 11206.440
 1129, 11215.581
 1130, 11230.075
 1131, 11235.492
 1132, 11244.833
 1133, 11252.736
 1134, 11268.410
 1135, 11273.910
 1136, 11282.746
 1137, 11297.138
 1138, 11302.217
 1139, 11312.994
 1140, 11320.592
 1141, 11337.149
 1142, 11344.688
 1143, 11351.315
 1144, 11366.242
 1145, 11370.494
 1146, 11378.928
 1147, 11395.053
 1148, 11400.782
 1149, 11409.145
 1150, 11417.872
 1151, 11432.141
 1152, 11437.493
 1153, 11446.731
 1154, 11461.495
 1155, 11467.063
 1156, 11475.797
 1157, 11484.819
 1158, 11502.018
 1159, 11506.175
 1160, 11514.165
 1161, 11530.202
 1162, 11535.112
 1163, 11544.647
 1164, 11552.791
 1165, 11567.596
 1166, 11572.763
 1167, 11581.744
 1168, 11597.300
 1169, 11602.169
 1170, 11611.698
 1171, 11619.779
 1172, 11635.088
 1173, 11640.427
 1174, 11649.078
 1175, 11664.717
 1176, 11669.669
 1177, 11678.711
 1178, 11695.317
 1179, 11700.514
 1180, 11709.702
 1181, 11718.671
 1182, 11733.311
 1183, 11738.811
 1184, 11747.885
 1185, 11763.977
 1186, 11769.362
 1187, 11778.208
 1188, 11786.577
 1189, 11801.534
 1190, 11807.151
 1191, 11816.147
 1192, 11830.321
 1193, 11835.664
 1194, 11845.516
 1195, 11853.247
 1196, 11868.616
 1197, 11873.983
 1198, 11882.792
 1199, 11898.353
 1200, 11904.157
 1201, 11913.321
 1202, 11928.502
 1203, 11934.008
 1204, 11942.967
 1205, 11952.291
 1206, 11967.642
 1207, 11971.941
 1208, 11981.886
 1209, 11995.478
 1210, 12001.118
 1211, 12011.259
 1212, 12018.025
 1213, 12033.600
 1214, 12038.918
 1215, 12048.544
 1216, 12063.891
 1217, 12069.374
 1218, 12080.275
 1219, 12086.969
 1220, 12103.694
 1221, 12108.019
 1222, 12118.917
 1223, 12133.115
 1224, 12138.675
 1225, 12147.797
 1226, 12164.044
 1227, 12169.406
 1228, 12178.636
 1229, 12187.319
 1230, 12202.015
 1231, 12207.480
 1232, 12216.817
 1233, 12233.106
 1234, 12238.431
 1235, 12247.794
 1236, 12263.492
 1237, 12268.786
 1238, 12278.286
 1239, 12286.621
 1240, 12301.809
 1241, 12307.465
 1242, 12316.858
 1243, 12332.624
 1244, 12338.777
 1245, 12348.438
 1246, 12362.596
 1247, 12368.661
 1248, 12377.992
 1249, 12385.945
 1250, 12401.563
 1251, 12406.647
 1252, 12415.600
 1253, 12432.013
 1254, 12437.286
 1255, 12446.686
 1256, 12462.538
 1257, 12468.207
 1258, 12476.918
 1259, 12486.124
 1260, 12503.863
 1261, 12507.895
 1262, 12517.440
 1263, 12533.083
 1264, 12538.481
 1265, 12547.567
 1266, 12564.686
 1267, 12568.671
 1268, 12578.120
 1269, 12586.029
 1270, 12601.078
 1271, 12606.696
 1272, 12616.252
 1273, 12631.408
 1274, 12637.275
 1275, 12645.374
 1276, 12663.078
 1277, 12668.814
 1278, 12678.031
 1279, 12686.181
 1280, 12701.440
 1281, 12706.860
 1282, 12716.701
 1283, 12731.861
 1284, 12737.469
 1285, 12746.335
 1286, 12761.623
 1287, 12767.266
 1288, 12775.575
 1289, 12783.601
 1290, 12798.584
 1291, 12804.173
 1292, 12813.541
 1293, 12831.103
 1294, 12836.760
 1295, 12846.285
 1296, 12862.452
 1297, 12867.959
 1298, 12879.129
 1299, 12886.919
 1300, 12902.628
 1301, 12908.531
 1302, 12916.728
 1303, 12932.697
 1304, 12938.161
 1305, 12947.731
 1306, 12964.158
 1307, 12969.660
 1308, 12978.653
 1309, 12986.944
 1310, 13003.349
 1311, 13009.510
 1312, 13018.389
 1313, 13032.876
 1314, 13038.327
